IPC_Mexico,USD_MXN
0.01385693,-0.00208501
-0.02569792,0.00675127
-0.01563120,-0.00036374
0.00632683,0.00090911
-0.02432370,0.00823576
-0.02647584,0.00973163
-0.01242806,-0.00286030
0.02548811,-0.00381162
-0.00200510,-0.00109678
0.00402929,0.00188724
0.02423830,-0.00904615
0.00648677,0.00058866
0.01955375,-0.00163114
0.00776897,0.00145005
-0.03184963,0.00973330
0.01300952,-0.00724589
0.00111988,0.00112858
0.02009619,-0.00479396
0.01471077,-0.00254198
0.00437748,0.00208852
-0.00398950,0.00466069
0.00024011,-0.00213307
-0.01847710,0.00632276
-0.00203921,-0.00631369
-0.00381004,0.00225945
0.00748284,0.00315479
-0.00682808,-0.00054015
-0.01006976,0.00233834
0.02678828,-0.01365734
-0.00297072,0.00068274
-0.00088168,-0.00034583
0.00318724,-0.00389478
-0.00129636,0.00027407
-0.00817516,-0.00402817
0.00027757,0.00073364
0.00739165,0.00065972
-0.00762235,0.00098890
0.01829890,-0.00436568
0.01913503,0.00244199
-0.00871621,0.00002750
-0.00322886,-0.00346268
0.01477557,-0.00226597
0.00898180,-0.00020291
-0.00074875,-0.00145834
0.01025210,-0.00054517
-0.00463112,0.00128380
0.01528308,-0.00129306
-0.00424666,-0.00093384
-0.00325366,0.00222690
0.01511900,-0.00285621
0.00348702,-0.00252095
-0.03132728,0.00140034
0.00457983,0.00248040
0.00809859,0.00048061
-0.00563992,0.00129270
-0.00507022,-0.00323489
0.00783037,-0.00417460
-0.00112084,-0.00520086
-0.00992866,0.00259452
-0.01027642,-0.00862128
-0.02095538,0.00188783
-0.02127931,0.00521303
0.00900546,-0.00144794
-0.02827220,0.01065612
-0.00993657,-0.00211108
-0.00447784,0.00830724
-0.03393692,0.00521663
0.04505231,-0.00982317
0.00577949,0.00668179
-0.01648201,0.00241879
0.01566871,-0.00009150
-0.04081701,0.00520289
0.00258787,-0.00211440
0.00666456,0.00074781
-0.02062934,-0.00219040
0.04013498,-0.00302881
0.00421054,-0.00053161
0.01252668,-0.00092655
0.00662918,0.00016523
0.00100921,-0.00203003
0.02511146,-0.00324183
0.01598449,-0.00231805
0.00035373,-0.00207326
-0.00274165,0.00031496
-0.02781480,0.00770430
-0.00792254,-0.00524355
-0.00310034,-0.00055449
-0.03482873,0.00391204
0.00985118,-0.00188957
-0.00620143,-0.00087682
0.00255331,-0.00092386
0.01666912,-0.00012941
0.00724028,-0.00118393
0.00496830,0.00053666
-0.01208312,0.00563574
