Date,LogRend_SIP500,LogRend_USD/MXN
11/8/2019,0.002557403,-0.001520704
11/11/2019,-0.001964395,-0.000632904
11/12/2019,0.001563423,0.000104597
11/13/2019,0.000711282,0.009747516
11/14/2019,0.000836693,0.003440875
11/15/2019,0.007666029,-0.002715703
11/18/2019,0.000503026,-0.005915193
11/19/2019,-0.00059277,0.00614765
11/20/2019,-0.003763256,0.002138262
11/21/2019,-0.001584006,0.00572576
11/22/2019,0.002172574,-0.004264384
11/25/2019,0.007479252,-0.002161067
11/26/2019,0.002193164,0.005163748
11/27/2019,0.004165736,0.003191024
11/29/2019,-0.004019286,-0.00081285
12/2/2019,-0.008668484,0.002280468
12/3/2019,-0.006660225,0.001945782
12/4/2019,0.006303658,-0.001252439
12/5/2019,0.001499127,-0.006074767
12/6/2019,0.009094246,-0.003510845
12/9/2019,-0.003167834,-0.005606326
12/10/2019,-0.001097536,-0.001286211
12/11/2019,0.002903938,0.001034373
12/12/2019,0.008538667,-0.00774955
12/13/2019,7.26E-05,-0.006265178
12/16/2019,0.007122361,0.002746216
12/17/2019,0.000335236,-0.005162509
12/18/2019,-0.000432394,-0.000984871
12/19/2019,0.004449379,0.003058662
12/20/2019,0.004932596,-0.003510659
12/23/2019,0.000865769,0.001706673
12/24/2019,-0.000195467,-0.000359052
12/26/2019,0.005115062,0.000929142
12/27/2019,3.40E-05,-0.001246101
12/30/2019,-0.005797596,-0.005328873
12/31/2019,0.002941691,0.004758173
1/2/2020,0.008343895,-0.000999559
1/3/2020,-0.007084909,-0.003631181
1/6/2020,0.003527145,0.006060101
1/7/2020,-0.002807175,-0.005468127
1/8/2020,0.004890473,0.006493726
1/9/2020,0.006633214,-0.007951712
1/10/2020,-0.002859262,0.001105031
1/13/2020,0.006951994,-0.001975954
1/14/2020,-0.001515681,-0.000400167
1/15/2020,0.00186845,0.000196906
1/16/2020,0.008331747,-0.000590836
1/17/2020,0.003854723,-0.00104934
1/21/2020,-0.0026555,-0.00584236
1/22/2020,0.000289034,0.005650418
1/23/2020,0.001140326,-0.003149435
1/24/2020,-0.009083289,0.002605635
1/27/2020,-0.015855752,0.006024655
1/28/2020,0.010003384,0.001562779
1/29/2020,-0.00086725,-0.008929741
1/30/2020,0.003129457,-0.00225368
1/31/2020,-0.017864444,0.005279922
2/3/2020,0.007228426,0.004547991
2/4/2020,0.014869316,-0.002760536
2/5/2020,0.011187779,-0.007635499
2/6/2020,0.003320155,-0.00449229
2/7/2020,-0.005415491,0.002798981
2/10/2020,0.00729969,0.008576408
2/11/2020,0.001687049,-0.005202239
2/12/2020,0.006441853,-0.00325077
2/13/2020,-0.001631776,-8.58E-05
2/14/2020,0.001841836,-0.002433138
2/18/2020,-0.002924214,-0.002428379
2/19/2020,0.004694748,0.002097527
2/20/2020,-0.003822817,-0.002092078
2/21/2020,-0.010573809,0.015899811
2/24/2020,-0.034088079,0.008469652
2/25/2020,-0.030747904,0.001518788
2/26/2020,-0.003785697,0.001228422
2/27/2020,-0.045168136,0.011819679
2/28/2020,-0.008272463,0.008896552
3/2/2020,0.045010869,0.01853978
3/3/2020,-0.028510485,-0.021317081
3/4/2020,0.041336349,0.001369836
3/5/2020,-0.034510782,0.004395516
3/6/2020,-0.017200944,0.015117882
3/9/2020,-0.079010413,0.060842797
3/10/2020,0.048215052,-0.011716077
3/11/2020,-0.050102893,-0.001097508
3/12/2020,-0.099944852,0.029723042
3/13/2020,0.088808407,0.025384113
3/16/2020,-0.127652197,-0.007245513
3/17/2020,0.058226313,0.035688836
3/18/2020,-0.053222272,0.015785975
3/19/2020,0.004696761,0.029571544
3/20/2020,-0.044327624,0.016607881
3/23/2020,-0.029731501,0.028713226
3/24/2020,0.089683233,0.023561881
3/25/2020,0.01146899,-0.022653486
3/26/2020,0.060543831,-0.03118945
3/27/2020,-0.034267846,-0.032641129
3/30/2020,0.032966591,0.015267736
3/31/2020,-0.016142311,0.010053282
4/1/2020,-0.045146363,-0.003446571
4/2/2020,0.022572657,0.019369567
4/3/2020,-0.015252861,0.000816071
4/6/2020,0.067968244,0.041491005
4/7/2020,-0.001604339,-0.028899007
4/8/2020,0.033489371,-0.009449049
4/9/2020,0.01438347,-0.013545374
4/13/2020,-0.010156059,-0.02267379
4/14/2020,0.03011456,0.005885334
4/15/2020,-0.022276733,-0.00950862
4/16/2020,0.005799838,0.036860432
4/17/2020,0.026440932,-0.019959249
4/20/2020,-0.018042846,0.011151676
4/21/2020,-0.031155115,-0.000663241
4/22/2020,0.022671301,0.014795085
4/23/2020,-0.000539568,0.004532391
4/24/2020,0.013822091,0.011666111
4/27/2020,0.014606868,0.0088137
4/28/2020,-0.00525617,-0.009494265
4/29/2020,0.026236704,-0.01901217
4/30/2020,-0.009255143,-0.022555563
5/1/2020,-0.028460211,0.019697718
5/4/2020,0.004240823,0.025290031
5/5/2020,0.008999935,-0.030428269
5/6/2020,-0.00700388,-0.004856112
5/7/2020,0.011438956,0.018760513
5/8/2020,0.016730795,-0.016736946
5/11/2020,0.000133069,-0.01666292
5/12/2020,-0.020713366,0.012409008
5/13/2020,-0.017616997,0.018358374
5/14/2020,0.011458918,-0.007315527
5/15/2020,0.003918675,-0.013922834
5/18/2020,0.031015209,0.003461748
5/19/2020,-0.010539748,-0.008505574
5/20/2020,0.016513991,-0.002782513
5/21/2020,-0.007803968,-0.020054085
5/22/2020,0.002350946,-0.014124385
5/26/2020,0.012214285,-0.014298404
5/27/2020,0.014718447,-0.014902802
5/28/2020,-0.002110139,0.004464201
5/29/2020,0.004800794,-0.005054131
6/1/2020,0.003744216,-0.000748049
6/2/2020,0.008177307,-0.006326812
6/3/2020,0.013556671,-0.014559424
6/4/2020,-0.003374389,-0.000138119
6/5/2020,0.025874013,0.008329489
6/8/2020,0.011969656,-0.019715056
6/9/2020,-0.007829743,-8.85E-05
6/10/2020,-0.005327256,0.019116196
6/11/2020,-0.060752693,0.004083043
6/12/2020,0.012976287,0.039159485
6/15/2020,0.008277861,-0.016149162
6/16/2020,0.018784853,-0.014921892
6/17/2020,-0.003606796,0.005121488
6/18/2020,0.000594043,0.003235994
6/19/2020,-0.005665514,0.014883236
6/22/2020,0.006474093,-0.001540176
6/23/2020,0.004298169,-0.010763776
6/24/2020,-0.026195266,-0.000444256
6/25/2020,0.010899828,0.017757608
6/26/2020,-0.024525204,-0.004877101
6/29/2020,0.014578888,0.016412689
6/30/2020,0.015292349,8.11E-05
7/1/2020,0.005009564,-0.002260939
7/2/2020,0.00453097,-0.012814046
7/6/2020,0.015756931,-0.014464568
7/7/2020,-0.010877478,-0.003331343
7/8/2020,0.007796986,0.021360434
7/9/2020,-0.005659591,-0.005318413
7/10/2020,0.01041181,-0.00305694
7/13/2020,-0.009406645,-0.00506535
7/14/2020,0.013317301,0.009796982
7/15/2020,0.009041057,-0.013914214
7/16/2020,-0.003411915,-0.003479916
7/17/2020,0.002844563,0.00417981
7/20/2020,0.008371797,0.003598316
7/21/2020,0.001677629,-0.000174702
7/22/2020,0.005730631,-0.008562677
7/23/2020,-0.012396378,0.003285204
7/24/2020,-0.00620964,0.00481759
7/27/2020,0.007367929,-0.008533427
7/28/2020,-0.006494435,-0.015878882
7/29/2020,0.012351783,-0.000123129
7/30/2020,-0.003757302,0.001781112
7/31/2020,0.007641236,0.001041652
8/3/2020,0.007155363,0.011984944
8/4/2020,0.003605423,0.016268167
8/5/2020,0.00640916,0.000119362
8/6/2020,0.006407126,-0.011411738
8/7/2020,0.000632829,0.001394095
8/10/2020,0.002738465,7.90E-05
8/11/2020,-0.008001055,0.002339666
8/12/2020,0.013899502,-0.002037068
8/13/2020,-0.002049273,-0.003150653
8/14/2020,-0.000171897,-0.008405538
8/17/2020,0.002706178,-0.009998398
8/18/2020,0.00230074,0.00947015
8/19/2020,-0.004414123,-0.000492416
8/20/2020,0.003153655,0.001963137
8/21/2020,0.0034352,-0.003907944
8/24/2020,0.009993615,-0.00584054
8/25/2020,0.0035899,0.000606859
8/26/2020,0.010144001,-0.00356985
8/27/2020,0.001671646,0.001650679
8/28/2020,0.006710003,0.009169964
8/31/2020,-0.002197375,-0.017456003
9/1/2020,0.007496831,0.007450333
9/2/2020,0.01524905,-0.007661875
9/3/2020,-0.035757594,-0.000846527
9/4/2020,-0.008166281,-0.00129878
9/8/2020,-0.028148829,-0.004827582
9/9/2020,0.019944761,0.012801687
9/10/2020,-0.017741246,-0.022443233
9/11/2020,0.00053293,0.002318822
9/14/2020,0.012661335,-0.00792196
9/15/2020,0.005205786,-0.009576669
9/16/2020,-0.004629647,0.003658179
9/17/2020,-0.00844795,-0.007732014
9/18/2020,-0.011245577,-0.004129754
9/21/2020,-0.011638564,0.010430368
9/22/2020,0.010463016,0.010979789
9/23/2020,-0.024007339,0.01532645
9/24/2020,0.002983006,0.032495861
9/25/2020,0.015850439,-0.011316866
9/28/2020,0.015982192,0.007691344
9/29/2020,-0.004824283,0.001779285
9/30/2020,0.008219843,0.001091203
10/1/2020,0.00527895,-0.013132569
10/2/2020,-0.009623813,-0.010784971
10/5/2020,0.017813109,-0.011497945
10/6/2020,-0.014072064,-0.010789584
10/7/2020,0.017247164,0.01509755
10/8/2020,0.007978213,-0.011054397
10/9/2020,0.008755095,-0.004388734
10/12/2020,0.01628253,-0.009753369
10/13/2020,-0.006326892,0.002376063
10/14/2020,-0.006645172,0.006328405
10/15/2020,-0.001528924,-0.000342753
10/16/2020,0.00013491,-0.00197466
10/19/2020,-0.016464664,-0.009218181
10/20/2020,0.004716195,0.005601018
10/21/2020,-0.002198114,-0.005420871
10/22/2020,0.005205354,0.002683085
10/23/2020,0.003439838,-0.009266208
10/26/2020,-0.018764473,-0.002473283
10/27/2020,-0.003030205,0.00293085
10/28/2020,-0.035925542,0.002644379
10/29/2020,0.011876525,0.010237911
10/30/2020,-0.012203713,0.00516664
11/2/2020,0.012242951,-0.003338799
11/3/2020,0.017642738,0.004572485
11/4/2020,0.021807526,-0.015857881
11/5/2020,0.019273266,-0.004827675
11/6/2020,-0.000287757,-0.008582456
11/9/2020,0.011631975,-0.0113937
11/10/2020,-0.001400775,-0.009059296
11/11/2020,0.007622728,-0.000649366
11/12/2020,-0.010028652,0.006972964
11/13/2020,0.013518547,0.006766943
11/16/2020,0.011580735,-0.012626457
11/17/2020,-0.004803444,-0.004176335
11/18/2020,-0.011631211,0.000963944
11/19/2020,0.003938676,0.00163528
11/20/2020,-0.006815737,-0.003910565
11/23/2020,0.005620108,-0.007275845
11/24/2020,0.016032459,0.000738008
11/25/2020,-0.001585675,-0.00380941
11/27/2020,0.002394111,0.000198762
11/30/2020,-0.004606141,0.000447761
12/1/2020,0.011208141,0.006145813
12/2/2020,0.001789565,-0.006611096
12/3/2020,-0.000624352,-0.001816553
12/4/2020,0.008797464,-0.00467261
12/7/2020,-0.001937513,-0.005957664
12/8/2020,0.002783271,0.005546477
12/9/2020,-0.007980965,-0.00579933
12/10/2020,-0.001285935,0.005049958
12/11/2020,-0.001265798,0.005748162
12/14/2020,-0.004368788,0.004347611
12/15/2020,0.012838482,0.007464837
12/16/2020,0.001771226,-0.014939779
12/17/2020,0.005741143,-0.002866331
12/18/2020,-0.003517297,-0.002506245
12/21/2020,-0.003913928,0.013651067
12/22/2020,-0.002075245,-0.005566383
12/23/2020,0.000745533,0.006056912
12/24/2020,0.00353035,-0.002734523
12/28/2020,0.008684708,-0.008979347
12/29/2020,-0.002229865,0.006849772
12/30/2020,0.001340648,-0.00356779
12/31/2020,0.006418205,-0.002214631
1/4/2021,-0.014864763,-0.002184277
1/5/2021,0.007057631,0.004772557
1/6/2021,0.005693603,-0.002020291
1/7/2021,0.01473826,-0.012459413
1/8/2021,0.005476837,0.017366332
1/11/2021,-0.006576328,0.002516331
1/12/2021,0.000415702,0.000593894
1/13/2021,0.002273056,-0.013446883
1/14/2021,-0.003760513,0.002115513
1/15/2021,-0.007216001,-0.005712848
1/19/2021,0.008103458,-0.001405435
1/20/2021,0.013839417,-0.003033204
1/21/2021,0.000316673,-0.002600095
1/22/2021,-0.003015153,0.00773361
1/25/2021,0.003609318,0.010374105
1/26/2021,-0.001489943,0.008104742
1/27/2021,-0.026013315,-0.005829842
1/28/2021,0.009713299,0.017025746
1/29/2021,-0.019500378,-0.003906933
2/1/2021,0.0159243,0.012416925
2/2/2021,0.013802529,-0.006709947
2/3/2021,0.001008261,-0.01138022
2/4/2021,0.010794848,0.00294538
2/5/2021,0.00388992,0.009368686
2/8/2021,0.007372107,-0.013620476
2/9/2021,-0.001114145,-0.000413774
2/10/2021,-0.000345245,-0.000956453
2/11/2021,0.001661075,-0.002720388
2/12/2021,0.004699971,-0.003150815
2/16/2021,-0.000569435,-0.000850756
2/17/2021,-0.000320453,0.013752077
2/18/2021,-0.004425614,-0.000642982
2/19/2021,-0.001856619,0.004723008
2/22/2021,-0.007762893,0.008786291
2/23/2021,0.00125553,0.012349551
2/24/2021,0.011287668,-0.011090072
2/25/2021,-0.024783394,-0.006637687
2/26/2021,-0.004761532,0.025836281
3/1/2021,0.023512173,-0.005819148
3/2/2021,-0.008113679,-0.006540961
3/3/2021,-0.013152336,-0.002453819
3/4/2021,-0.013508038,0.016972709
3/5/2021,0.019308356,0.008425836
3/8/2021,-0.005373643,0.005751124
3/9/2021,0.014055401,0.011097307
3/10/2021,0.006012204,-0.014229929
3/11/2021,0.010341826,-0.013623061
3/12/2021,0.001014883,-0.013831662
3/15/2021,0.00647094,0.004674022
3/16/2021,-0.001570917,-0.002169712
3/17/2021,0.002875245,-0.003266152
3/18/2021,-0.01487056,-0.011548876
3/19/2021,-0.000602886,0.005930978
3/22/2021,0.007000557,0.008599015
3/23/2021,-0.007660118,-0.004142536
3/24/2021,-0.005482337,0.011237552
3/25/2021,0.005226583,0.003602156
3/26/2021,0.016494419,-0.009621886
3/29/2021,-0.00086839,-0.002444551
3/30/2021,-0.003162829,-0.001219707
3/31/2021,0.003615954,-0.001523901
4/1/2021,0.01175583,-0.007165002
4/5/2021,0.014334988,-0.006082378
4/6/2021,-0.000974005,2.52E-05
4/7/2021,0.001474146,-0.006485731
4/8/2021,0.004211751,0.001824428
4/9/2021,0.007690288,-0.005574777
4/12/2021,-0.000196098,0.003053705
4/13/2021,0.003289072,-0.000792945
4/14/2021,-0.004096104,-0.003826282
4/15/2021,0.011033101,0.000924472
4/16/2021,0.003602323,-0.007503908
4/19/2021,-0.00532069,-0.000883175
4/20/2021,-0.006825561,-0.005277946
4/21/2021,0.009263021,0.006717788
4/22/2021,-0.009253338,-0.003032618
4/23/2021,0.01086941,0.002330515
4/26/2021,0.001780685,-0.004044767
4/27/2021,-0.000214919,0.000305282
4/28/2021,-0.000845898,0.008723773
4/29/2021,0.006740042,-0.007059904
4/30/2021,-0.007220713,0.006645455
5/3/2021,0.002744322,0.008528184
5/4/2021,-0.006700737,-0.000396266
5/5/2021,0.000703216,0.000302102
5/6/2021,0.008132299,0.002831994
5/7/2021,0.007346291,-0.008234275
5/10/2021,-0.010490481,-0.009640469
5/11/2021,-0.00871175,0.001032513
5/12/2021,-0.021682782,0.002544814
5/13/2021,0.012099645,0.008892083
5/14/2021,0.014807779,-0.009558034
5/17/2021,-0.002533258,-0.004018002
5/18/2021,-0.008553772,-0.005505725
5/19/2021,-0.002947752,0.004371735
5/20/2021,0.010499429,0.004279507
5/21/2021,-0.000784188,-0.002219936
5/24/2021,0.009862497,0.00243808
5/25/2021,-0.002127545,-0.00318245
5/26/2021,0.001875058,0.001598767
5/27/2021,0.001164636,-0.001759821
5/28/2021,0.000768586,0.004070597
6/1/2021,-0.000492455,-0.001723196
6/2/2021,0.001445889,0.002191706
6/3/2021,-0.003635303,-0.003332025
6/4/2021,0.008795303,0.012269344
6/7/2021,-0.000797056,-0.009804455
6/8/2021,0.00017501,-0.006110722
6/9/2021,-0.001825533,-0.006088366
6/10/2021,0.004641455,0.001430305
6/11/2021,0.001946539,-0.00137348
6/14/2021,0.001813556,0.008475282
6/15/2021,-0.00201372,0.003626908
6/16/2021,-0.005404704,0.003913457
6/17/2021,-0.000435811,0.018634326
6/18/2021,-0.013211356,0.000628264
6/21/2021,0.013905164,0.010299189
6/22/2021,0.005111406,-0.005648251
6/23/2021,-0.001083871,-0.008155221
6/24/2021,0.00579443,-0.007076882
6/25/2021,0.003325063,-0.01743023
6/28/2021,0.002312289,-0.001951835
6/29/2021,0.000277298,0.000452657
6/30/2021,0.001327278,-0.000710172
7/1/2021,0.005208041,0.006609825
7/2/2021,0.007472096,0.003788771
7/6/2021,-0.002023903,-0.00929841
7/7/2021,0.003353347,0.009376378
7/8/2021,-0.008597881,-0.003065922
7/9/2021,0.011214826,0.001537668
7/12/2021,0.003445233,-0.006043896
7/13/2021,-0.003523011,-0.001678105
7/14/2021,0.001164257,0.010775225
7/15/2021,-0.003267574,-0.007072612
7/16/2021,-0.007567415,0.001428081
7/19/2021,-0.015996781,-0.00126478
7/20/2021,0.015048806,0.006704681
7/21/2021,0.008208042,0.004876279
7/22/2021,0.002014639,0.000550663
7/23/2021,0.010094332,-0.002205707
7/26/2021,0.002379367,-0.002213626
7/27/2021,-0.004723583,-0.001696517
7/28/2021,-0.000186279,-0.003511898
7/29/2021,0.004197332,-0.002021696
7/30/2021,-0.005420714,-0.00313837
8/2/2021,-0.001844506,0.000720062
8/3/2021,0.008169961,0.001810493
8/4/2021,-0.004643151,-0.001966525
8/5/2021,0.005987486,0.004911709
8/6/2021,0.001673865,-0.001611427
8/9/2021,-0.00094035,0.007077304
8/10/2021,0.000992187,3.52E-06
8/11/2021,0.001274931,3.14E-05
8/12/2021,0.004137808,-0.007049971
8/13/2021,0.001606016,0.001097227
8/16/2021,0.002617422,-0.004706444
